year,geography,grouping,variable,estimate,count_moe,share,share_moe
2019,Region,American Indian or Alaskan Native Alone,Own,2775,886.8577787602136,0.510861561119293,0.1349593466641737
2019,Region,American Indian or Alaskan Native Alone,Rent,2657,1048.8218008121066,0.4891384388807069,0.1349593466641737
2019,Region,Asian alone,Own,106868,4514.022481488518,0.6009863851851018,0.02153058797338366
2019,Region,Asian alone,Rent,70953,4713.076593068084,0.3990136148148981,0.02153058797338364
2019,Region,Black or African American alone,Own,19721,2412.2788952964165,0.2670955508904991,0.03455278335399075
2019,Region,Black or African American alone,Rent,54114,5124.209220110455,0.7329044491095009,0.03455278335399076
2019,Region,Hispanic or Latino,Own,29868,2686.5718271549154,0.35667542393121565,0.03584667743554637
2019,Region,Hispanic or Latino,Rent,53872,4731.64223924395,0.6433245760687843,0.03584667743554635
2019,Region,Multiple Races,Own,149285,6886.373339357953,0.5749315443065275,0.020342508218505934
2019,Region,Multiple Races,Rent,110372,7436.3905733964775,0.42506845569347257,0.02034250821850595
2019,Region,Native Hawaiian and Other Pacific Islander alone,Own,971,504.87070699214667,0.18404094010614103,0.09021073198023001
2019,Region,Native Hawaiian and Other Pacific Islander alone,Rent,4305,983.0713236052612,0.815959059893859,0.09021073198023002
2019,Region,Some Other Race alone,Own,1137,614.6508985757689,0.35103426983636926,0.18804190101325052
2019,Region,Some Other Race alone,Rent,2102,1087.039288150962,0.6489657301636308,0.18804190101325052
2019,Region,Two or More Races,Own,11408,2395.3655793570947,0.37821171634121276,0.059503436398523665
2019,Region,Two or More Races,Rent,18755,3115.9729210701594,0.6217882836587872,0.059503436398523686
2019,Region,White alone,Own,670162,9187.408066970045,0.6637850173384297,0.00911732429094929
2019,Region,White alone,Rent,339445,10363.576087498466,0.3362149826615703,0.009117324290949271
2021,Region,American Indian or Alaskan Native Alone,Own,1356,563.8358384006821,0.522543352601156,0.14739949375340416
2021,Region,American Indian or Alaskan Native Alone,Rent,1239,482.77134787987364,0.4774566473988439,0.14739949375340416
2021,Region,Asian alone,Own,124010,5159.435454572646,0.6262561989314103,0.02411518531270879
2021,Region,Asian alone,Rent,74008,5322.958679540684,0.37374380106858973,0.02411518531270876
2021,Region,Black or African American alone,Own,22763,3125.9885268207563,0.3092672853008709,0.038084695361801646
2021,Region,Black or African American alone,Rent,50840,3803.0961665059826,0.6907327146991291,0.03808469536180163
2021,Region,Hispanic or Latino,Own,34382,3445.2804166861733,0.3684391007094023,0.0333364323161404
2021,Region,Hispanic or Latino,Rent,58936,4058.829844688307,0.6315608992905978,0.03333643231614041
2021,Region,Multiple Races,Own,196196,7786.876417322129,0.6487619702661235,0.017718687429646763
2021,Region,Multiple Races,Rent,106220,6387.833607332673,0.3512380297338765,0.017718687429646787
2021,Region,Native Hawaiian and Other Pacific Islander alone,Own,1356,696.3226902072774,0.18469081994007083,0.09535400533522474
2021,Region,Native Hawaiian and Other Pacific Islander alone,Rent,5986,1325.014620014153,0.8153091800599291,0.09535400533522474
2021,Region,Some Other Race alone,Own,4269,1121.8057569177251,0.5856770476059816,0.10864787370361377
2021,Region,Some Other Race alone,Rent,3020,1015.0319842158917,0.4143229523940184,0.1086478737036138
2021,Region,Two or More Races,Own,22302,2745.7813786145193,0.45725181449132735,0.045141887985880265
2021,Region,Two or More Races,Rent,26472,3921.9678126874333,0.5427481855086727,0.045141887985880265
2021,Region,White alone,Own,634087,9879.763112766797,0.6619988578432447,0.009416962734069176
2021,Region,White alone,Rent,323750,10344.22733504157,0.33800114215675525,0.00941696273406915
