name,year,injury_type,risk_score,hdc,population,collisions,injuries,collision_rate_per_100k,injury_rate_per_100k,geography
53033000100,2010,Serious Injury,46,Yes,6255,1,1,15.98721023,15.98721023,Census Tract 2010
53033000100,2011,Serious Injury,46,Yes,6194,2,2,32.28931224,32.28931224,Census Tract 2010
53033000100,2012,Serious Injury,46,Yes,6598,3,3,45.46832373,45.46832373,Census Tract 2010
53033000100,2013,Serious Injury,46,Yes,6676,2,2,29.95805872,29.95805872,Census Tract 2010
53033000100,2016,Serious Injury,46,Yes,7589,2,2,26.35393332,26.35393332,Census Tract 2010
53033000100,2017,Serious Injury,46,Yes,7899,1,1,12.65983036,12.65983036,Census Tract 2010
53033000100,2018,Serious Injury,46,Yes,7971,2,2,25.09095471,25.09095471,Census Tract 2010
53033000100,2019,Traffic Related Deaths,46,Yes,8098,1,1,12.34872808,12.34872808,Census Tract 2010
53033000100,2020,Serious Injury,46,Yes,3759,1,1,26.6028199,26.6028199,Census Tract 2010
53033000100,2020,Serious Injury,46,Yes,4322,1,1,23.13743637,23.13743637,Census Tract 2010
53033000100,2021,Serious Injury,46,Yes,3781,1,1,26.44802962,26.44802962,Census Tract 2010
53033000100,2021,Traffic Related Deaths,46,Yes,4364,2,2,45.82951421,45.82951421,Census Tract 2010
53033000100,2022,Serious Injury,46,Yes,3942,2,2,50.73566717,50.73566717,Census Tract 2010
53033000100,2022,Serious Injury,46,Yes,4334,1,1,23.07337333,23.07337333,Census Tract 2010
53033000200,2010,Serious Injury,31,No,7646,1,1,13.07873398,13.07873398,Census Tract 2010
53033000200,2011,Serious Injury,31,No,7561,1,1,13.22576379,13.22576379,Census Tract 2010
53033000200,2012,Traffic Related Deaths,31,No,7721,1,1,12.9516902,12.9516902,Census Tract 2010
53033000200,2014,Serious Injury,31,No,7823,3,3,38.34845967,38.34845967,Census Tract 2010
53033000200,2016,Serious Injury,31,No,8106,2,2,24.67308167,24.67308167,Census Tract 2010
53033000200,2016,Traffic Related Deaths,31,No,8106,1,1,12.33654083,12.33654083,Census Tract 2010
53033000200,2017,Serious Injury,31,No,8282,2,2,24.14875634,24.14875634,Census Tract 2010
53033000200,2019,Serious Injury,31,No,8426,3,3,35.6040826,35.6040826,Census Tract 2010
53033000200,2019,Traffic Related Deaths,31,No,8426,1,1,11.86802753,11.86802753,Census Tract 2010
53033000200,2020,Serious Injury,31,No,4414,2,2,45.31037608,45.31037608,Census Tract 2010
53033000200,2020,Traffic Related Deaths,31,No,4322,1,1,23.13743637,23.13743637,Census Tract 2010
53033000200,2020,Traffic Related Deaths,31,No,4414,1,1,22.65518804,22.65518804,Census Tract 2010
53033000200,2021,Serious Injury,31,No,4418,1,2,22.63467632,45.26935265,Census Tract 2010
53033000300,2010,Serious Injury,30,No,2603,1,1,38.41721091,38.41721091,Census Tract 2010
53033000300,2011,Serious Injury,30,No,2551,5,5,196.001568,196.001568,Census Tract 2010
53033000300,2012,Serious Injury,30,No,2585,2,2,77.36943907,77.36943907,Census Tract 2010
53033000300,2013,Serious Injury,30,No,2593,2,2,77.1307366,77.1307366,Census Tract 2010
53033000300,2014,Serious Injury,30,No,2601,1,1,38.44675125,38.44675125,Census Tract 2010
53033000300,2015,Serious Injury,30,No,2691,1,1,37.16090673,37.16090673,Census Tract 2010
53033000300,2017,Serious Injury,30,No,2807,1,1,35.62522266,35.62522266,Census Tract 2010
53033000300,2018,Serious Injury,30,No,2822,3,3,106.3075833,106.3075833,Census Tract 2010
53033000300,2019,Serious Injury,30,No,2822,2,2,70.87172218,70.87172218,Census Tract 2010
53033000300,2021,Serious Injury,30,No,2870,3,4,104.5296167,139.3728223,Census Tract 2010
53033000300,2022,Serious Injury,30,No,2851,1,1,35.07541214,35.07541214,Census Tract 2010
53033000300,2022,Serious Injury,30,No,4378,1,1,22.84148013,22.84148013,Census Tract 2010
53033000300,2022,Traffic Related Deaths,30,No,4378,1,1,22.84148013,22.84148013,Census Tract 2010
53033000401,2010,Serious Injury,45,Yes,5551,1,1,18.01477211,18.01477211,Census Tract 2010
53033000401,2013,Traffic Related Deaths,45,Yes,5574,1,1,17.94043775,17.94043775,Census Tract 2010
53033000401,2014,Serious Injury,45,Yes,5864,5,5,85.26603001,85.26603001,Census Tract 2010
53033000401,2015,Serious Injury,45,Yes,5996,2,2,33.35557038,33.35557038,Census Tract 2010
53033000401,2016,Serious Injury,45,Yes,6207,3,3,48.33252779,48.33252779,Census Tract 2010
53033000401,2018,Serious Injury,45,Yes,6413,2,2,31.18665211,31.18665211,Census Tract 2010
53033000401,2019,Serious Injury,45,Yes,6604,3,4,45.42701393,60.56935191,Census Tract 2010
53033000401,2020,Serious Injury,45,Yes,2817,1,1,35.49875754,35.49875754,Census Tract 2010
53033000401,2021,Serious Injury,45,Yes,2870,2,3,69.68641115,104.5296167,Census Tract 2010
53033000401,2021,Serious Injury,45,Yes,3130,1,1,31.94888179,31.94888179,Census Tract 2010
53033000401,2021,Traffic Related Deaths,45,Yes,2870,1,1,34.84320557,34.84320557,Census Tract 2010
53033000401,2022,Serious Injury,45,Yes,2851,3,3,105.2262364,105.2262364,Census Tract 2010
53033000401,2022,Serious Injury,45,Yes,3091,1,1,32.35198965,32.35198965,Census Tract 2010
53033000401,2022,Traffic Related Deaths,45,Yes,2851,2,2,70.15082427,70.15082427,Census Tract 2010
53033000402,2010,Serious Injury,25,Yes,4841,3,6,61.97066722,123.9413344,Census Tract 2010
53033000402,2012,Serious Injury,25,Yes,4805,1,1,20.81165453,20.81165453,Census Tract 2010
53033000402,2013,Serious Injury,25,Yes,4823,2,2,41.467966,41.467966,Census Tract 2010
53033000402,2015,Serious Injury,25,Yes,4933,1,1,20.27163998,20.27163998,Census Tract 2010
53033000402,2018,Serious Injury,25,Yes,5246,1,1,19.06214258,19.06214258,Census Tract 2010
